epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,80.558,0.88206,0.53133,0.93695,0.98513,0.98496,0.99091,0.77345,0.88295,0.48884,0.92609,0.0015941,0.0015941,0.0015941
43,82.3015,0.89992,0.54173,0.94725,0.99236,0.97635,0.99264,0.80099,0.8264,0.46433,0.91682,0.0015842,0.0015842,0.0015842
44,84.0375,0.86913,0.5298,0.95552,0.98879,0.97744,0.99293,0.7819,0.88463,0.47931,0.92275,0.0015743,0.0015743,0.0015743
45,85.8238,0.87237,0.51232,0.91651,0.98485,0.97995,0.99112,0.78797,0.85143,0.47812,0.92323,0.0015644,0.0015644,0.0015644
46,87.5463,0.84935,0.52201,0.92537,0.98604,0.97995,0.99034,0.79628,0.82856,0.47557,0.92658,0.0015545,0.0015545,0.0015545
47,89.294,0.85848,0.52191,0.94374,0.98836,0.98246,0.99148,0.79471,0.84712,0.48043,0.92328,0.0015446,0.0015446,0.0015446
48,91.0312,0.87415,0.51337,0.91633,0.98499,0.98695,0.99219,0.81001,0.82198,0.47462,0.91915,0.0015347,0.0015347,0.0015347
49,92.8055,0.87404,0.50006,0.92458,0.9814,0.98997,0.99178,0.81347,0.81007,0.45193,0.92441,0.0015248,0.0015248,0.0015248
50,94.4937,0.8804,0.51531,0.92225,0.98367,0.98997,0.99134,0.79652,0.86695,0.45763,0.9318,0.0015149,0.0015149,0.0015149
51,96.2216,0.87646,0.50045,0.91722,0.98497,0.98496,0.99091,0.80502,0.81417,0.45382,0.91555,0.001505,0.001505,0.001505
52,97.8798,0.83198,0.49384,0.92086,0.98462,0.98496,0.99162,0.80482,0.81742,0.46757,0.91877,0.0014951,0.0014951,0.0014951
53,99.5983,0.83418,0.49308,0.92357,0.98126,0.98246,0.991,0.79189,0.86305,0.47723,0.92549,0.0014852,0.0014852,0.0014852
54,101.263,0.83862,0.48937,0.91934,0.97534,0.99139,0.99033,0.80495,0.84171,0.45969,0.92866,0.0014753,0.0014753,0.0014753
55,103.007,0.85263,0.48681,0.93144,0.9901,0.97494,0.98973,0.79058,0.8454,0.45009,0.932,0.0014654,0.0014654,0.0014654
56,104.721,0.82524,0.48123,0.93705,0.97061,0.99338,0.98962,0.79198,0.83668,0.45424,0.91403,0.0014555,0.0014555,0.0014555
57,106.404,0.85124,0.48815,0.92634,0.98989,0.98112,0.98986,0.80429,0.82011,0.44474,0.91611,0.0014456,0.0014456,0.0014456
58,108.111,0.84799,0.47924,0.93172,0.98877,0.97995,0.98958,0.8058,0.81567,0.42976,0.91173,0.0014357,0.0014357,0.0014357
59,109.838,0.81876,0.46722,0.9238,0.98751,0.97744,0.9905,0.7988,0.83279,0.43623,0.91233,0.0014258,0.0014258,0.0014258
60,111.505,0.87217,0.48995,0.92212,0.97458,0.99248,0.99092,0.80673,0.82897,0.44525,0.91026,0.0014159,0.0014159,0.0014159
61,113.293,0.83309,0.47995,0.92304,0.97916,0.98997,0.98856,0.79795,0.81814,0.43706,0.89891,0.001406,0.001406,0.001406
62,114.961,0.84125,0.46767,0.9112,0.98013,0.98917,0.98676,0.80625,0.79847,0.42746,0.89847,0.0013961,0.0013961,0.0013961
63,116.664,0.84651,0.46831,0.91778,0.98182,0.98747,0.98811,0.79735,0.83482,0.43647,0.92295,0.0013862,0.0013862,0.0013862
64,118.347,0.8362,0.46554,0.92989,0.98158,0.98997,0.98653,0.79874,0.81847,0.42728,0.90693,0.0013763,0.0013763,0.0013763
65,120.154,0.8052,0.46345,0.9296,0.98019,0.99232,0.98736,0.80846,0.81396,0.42347,0.91028,0.0013664,0.0013664,0.0013664
66,121.818,0.82509,0.45051,0.921,0.98257,0.98874,0.98759,0.80848,0.8295,0.43389,0.91791,0.0013565,0.0013565,0.0013565
67,123.552,0.80802,0.45063,0.92764,0.98253,0.98673,0.9876,0.8024,0.83344,0.42396,0.90883,0.0013466,0.0013466,0.0013466
68,125.219,0.86642,0.4759,0.91953,0.99121,0.97744,0.98836,0.80655,0.81614,0.42423,0.90415,0.0013367,0.0013367,0.0013367
69,126.897,0.84866,0.48095,0.9067,0.98982,0.9751,0.99001,0.79667,0.85859,0.44416,0.93504,0.0013268,0.0013268,0.0013268
70,128.547,0.82316,0.45472,0.91595,0.98132,0.98246,0.99047,0.80949,0.8218,0.43673,0.91571,0.0013169,0.0013169,0.0013169
